Date,Open,High,Low,Close*,Volume(MM),%Change,MACD,MACDsig,RS,RSI,Stochastic%K,Stochastic%D,Consecutive Move,Sum of % change during consecutive,Class
"Jun 12, 2014","1,943.35","1,943.35","1,925.78","1,930.11","3,040.48",-0.71%,17.13,15.92,2.57,71.96,59.12,78.90,3.00,-1.09%,2
"Jun 13, 2014","1,930.80","1,937.30","1,927.69","1,936.16","2,598.23",0.31%,16.25,15.99,2.48,71.29,63.78,68.76,1.00,0.31%,4
"Jun 16, 2014","1,934.84","1,941.15","1,930.91","1,937.78","2,926.13",0.08%,15.50,15.89,2.08,67.50,63.17,62.02,2.00,0.40%,3
"Jun 17, 2014","1,937.15","1,943.69","1,933.55","1,941.99","2,971.26",0.22%,15.08,15.73,2.47,71.19,70.35,65.77,3.00,0.61%,3
"Jun 18, 2014","1,942.73","1,957.74","1,939.29","1,956.98","3,065.22",0.77%,15.77,15.74,2.69,72.88,98.18,77.23,4.00,1.39%,4
"Jun 19, 2014","1,957.50","1,959.87","1,952.26","1,959.48","2,952.15",0.13%,16.33,15.86,2.64,72.53,99.11,89.21,5.00,1.51%,3
"Jun 20, 2014","1,960.45","1,963.91","1,959.17","1,962.87","4,336.24",0.17%,16.86,16.06,2.73,73.20,97.70,98.33,6.00,1.69%,3
"Jun 23, 2014","1,962.92","1,963.74","1,958.89","1,962.61","2,717.63",-0.01%,17.05,16.26,2.79,73.62,97.13,97.98,1.00,-0.01%,3
"Jun 24, 2014","1,961.97","1,968.17","1,948.34","1,949.98","3,089.70",-0.64%,16.01,16.21,1.65,62.25,59.79,84.88,2.00,-0.66%,2
"Jun 25, 2014","1,949.27","1,960.83","1,947.49","1,959.53","3,106.71",0.49%,15.77,16.12,1.56,60.94,79.62,78.85,1.00,0.49%,4
"Jun 26, 2014","1,959.89","1,959.89","1,944.69","1,957.22","2,778.84",-0.12%,15.21,15.94,1.21,54.83,74.17,71.19,1.00,-0.12%,3
"Jun 27, 2014","1,956.56","1,961.47","1,952.18","1,960.96","4,290.59",0.19%,14.91,15.73,1.27,55.88,82.99,78.93,1.00,0.19%,3
"Jun 30, 2014","1,960.79","1,964.24","1,958.22","1,960.23","3,037.35",-0.04%,14.44,15.47,1.26,55.71,81.27,79.48,1.00,-0.04%,3
"Jul 01, 2014","1,962.29","1,978.58","1,962.29","1,973.32","3,188.24",0.67%,14.95,15.37,1.99,66.56,90.04,84.77,1.00,0.67%,4
